sample-id	sample-name	date	day	time	day-time	body-size-mm	extraction-batch
#q2:types	categorical	categorical	categorical	categorical	categorical	numeric	categorical
ARM1	ARM1	22.05.2019	1	9.15	T_0915	12.9	1
ARM2	ARM2	22.05.2019	1	9.15	T_0915	13.5	2
ARM3	ARM3	22.05.2019	1	9.15	T_0915	15.2	3
ARM4	ARM4	22.05.2019	1	9.15	T_0915	12.5	4
ARM5	ARM5	22.05.2019	1	9.15	T_0915	13.7	5
BRM1	BRM1	22.05.2019	1	12.3	T_1230	11.7	1
BRM2	BRM2	22.05.2019	1	12.3	T_1230	11.3	2
BRM3	BRM3	22.05.2019	1	12.3	T_1230	12.9	3
BRM4	BRM4	22.05.2019	1	12.3	T_1230	11.9	4
BRM5	BRM5	22.05.2019	1	12.3	T_1230	12.4	5
CRM1	CRM1	22.05.2019	1	16.12	T_1612	11.7	1
CRM2	CRM2	22.05.2019	1	16.12	T_1612	12.9	2
CRM3	CRM3	22.05.2019	1	16.12	T_1612	13	3
CRM4	CRM4	22.05.2019	1	16.12	T_1612	12	4
CRM5	CRM5	22.05.2019	1	16.12	T_1612	11.7	5
DRM1	DRM1	22.05.2019	1	17.4	T_1740	11.8	1
DRM2	DRM2	22.05.2019	1	17.4	T_1740	10.9	2
DRM3	DRM3	22.05.2019	1	17.4	T_1740	14.9	3
DRM4	DRM4	22.05.2019	1	17.4	T_1740	11.1	4
DRM5	DRM5	22.05.2019	1	17.4	T_1740	11.9	5
