sample. Name	5-F2t-IsoP	15-F2t-IsoP	7-Dihomo-IsoP	17-Dihomo-IsoP	5-F3t-IsoP	15-F3t-IsoP	8-F3-IsoP	4-F4-NeuroP	10-F4-NeuroP	13-F4-NeuroP	20-F4-NeuroP	9-D1-PhytoP	9-F1-PhytoP	16-F1-PhytoP	16-B1-PhytoP
ARM1	166.97	173.67	31.27	290.97	118.64	42.61	553.2	284.69	60.12	309.48	953.87	974.95	7643.61	576.13	139.54
ARM2	155.73	116.96	30.52	214.94	113.05	26.23	92.47	564.51	93.81	248.43	344.74	253.69	1003.11	290.22	72.52
ARM3	424.3	185.32	105.8	617.57	381.52	76.06	508.45	1195.95	140.95	211.42	954.75	479.53	2602.72	547.24	204.62
ARM4	195.11	130.14	45.27	277.15	297.07	8.84	219.55	1636.6	113.73	286.82	487.81	203.21	172.59	300.95	15.1
ARM5	79.94	151.88	26.86	677.73	125.77	535.77	713.42	353.22	86.69	260.88	1678	747.49	8289.39	756.25	19.18
BRM1	551.4	125.58	107.72	215.73	294.55	33.23	185.9	1784.02	148.63	534.15	363.86	220.62	384.62	411.99	19.93
BRM2	264.91	226.19	174.5	753.31	404.74	30.11	546.56	2902.67	332.92	914.24	548.14	279.41	1044.52	1786.84	77.22
BRM3	283.36	149.21	100.99	152.78	409.84	151.55	774.96	113.12	65.97	53.69	93.51	168.95	1315.15	1431.81	61.82
BRM4	791.32	300.05	254.66	492.38	798.74	69.2	301.31	1451.18	314.49	997.4	360.55	550.02	1407.14	1418.45	23.66
BRM5	390.9	117.15	112.13	483.13	440.19	44.65	468.08	1550.21	262.76	567.44	1287.39	347.78	1761.81	1220.15	30.51
CRM1	1714.29	709.49	335.64	1020.63	1318.67	103.89	408.33	1021.85	233.5	596.25	779.11	693.79	2382.14	4078.45	68.74
CRM2	527.75	104.25	102.37	445.85	303.86	64.52	372.42	1501.37	236.94	363.23	599.84	204.08	568.94	1925.14	38.58
CRM3	622.63	130.1	77.73	284.28	506.85	21.04	237.46	1046.01	121.49	265.62	446.89	100.92	464.88	1420.13	76.6
CRM4	891.76	244.66	105.72	277.81	448.05	20.4	225.74	1271.11	156.68	416.17	128.25	253.53	449.12	1412.16	63.17
CRM5	972.85	362.23	248.56	241.68	713.1	51.64	219.35	1956.65	207.57	789.34	251.49	409.44	685.99	1887.75	32.61
DRM1	292.55	198.41	135.55	137.18	346.47	19.74	79.4	1389	424.82	669.33	159.48	112.78	305.44	765.68	44.97
DRM2	398.09	388.49	103.43	205.9	334.64	261.15	646.5	836.05	183.94	361.31	195.48	470.9	4159.73	732.97	147.53
DRM3	833.65	147.92	101.79	357.03	199.75	40.51	332.07	860.25	169.38	363.7	219.96	388.53	340.48	1039.1	52.23
DRM4	738.09	533.16	196.82	630.36	566.95	84.34	906.94	1681.47	296.22	655.29	762.48	813.28	1023.44	2504.64	67.95
DRM5	791.73	286.18	220.67	431.69	825.25	54.31	481.11	2243.81	422.59	644.78	755.65	318.08	704.35	2373.17	218.07
