OTU ID	ARM1	ARM2	ARM3	ARM4	ARM5	BRM1	BRM2	BRM4	BRM5	CRM1	CRM2	CRM3	CRM4	CRM5	DRM1	DRM2	DRM4	DRM5
1CMET2-PWY	14553	13238	12360	13693	17524	17208	17054	14651	13340	16975	20692	13824	20090	13301	15925	14361	13161	15970
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	49	144	30	89	41	49	42	79	142	25	26	51	49	84	57	176	109	117
AEROBACTINSYN-PWY	11	20	0	0	1	3	29	0	11	0	3	27	9	7	18	0	0	30
ALL-CHORISMATE-PWY	611	388	93	0	133	121	648	0	0	0	106	959	0	0	579	0	0	220
ANAEROFRUCAT-PWY	9700	9983	10163	10903	6448	4494	4377	8393	4292	7771	4859	7791	4142	7456	8615	11378	10303	7726
ANAGLYCOLYSIS-PWY	17997	16449	16239	17658	20557	18935	19376	17826	17717	19755	23184	16472	21830	17537	18461	18400	17279	18911
ARG+POLYAMINE-SYN	4156	4848	3906	4841	3054	2190	3386	3635	4196	2448	1558	3908	1626	3498	3135	3727	4220	2081
ARGDEG-PWY	96	6	0	0	0	0	5	0	0	17	0	86	0	0	0	0	0	31
ARGORNPROST-PWY	697	475	536	544	284	391	781	785	328	330	519	2066	219	1102	2189	799	619	820
ARGSYN-PWY	15980	14649	15144	15099	18617	16574	16905	17327	15840	18360	21294	14864	20846	16204	16487	15663	15884	17648
ARGSYNBSUB-PWY	17091	15961	16245	16113	19916	17286	17831	18650	17144	19771	22562	16099	22132	17332	17303	17055	16927	18728
ARO-PWY	17304	15798	16226	16344	19080	16694	17539	17817	17105	18694	21164	15422	20911	17072	17173	16872	16962	18153
ASPASN-PWY	1062	351	902	1412	1236	1756	1167	1962	4763	1859	613	2119	624	2394	2920	951	686	1616
AST-PWY	671	119	89	325	18	39	310	175	18	19	65	1107	28	146	828	277	586	169
BIOTIN-BIOSYNTHESIS-PWY	5973	5379	5644	4788	3188	2009	4369	4689	4646	4375	2248	6713	2365	4952	6188	5208	4623	4027
BRANCHED-CHAIN-AA-SYN-PWY	23347	23700	22726	23098	26252	22320	25019	23850	21926	25656	29891	22048	28965	22950	22935	23428	23065	24721
CALVIN-PWY	17773	16760	16716	17438	21178	21797	19568	18905	18439	20933	23725	16666	23330	17995	18421	18177	17551	19652
CATECHOL-ORTHO-CLEAVAGE-PWY	414	284	263	388	190	101	333	271	188	76	38	435	77	283	256	315	363	375
CENTBENZCOA-PWY	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CENTFERM-PWY	369	213	344	280	180	227	444	272	114	236	279	165	255	430	495	130	225	356
CHLOROPHYLL-SYN	714	1312	2109	1934	1526	1398	921	1263	2786	671	387	778	654	1238	596	1040	788	933
COA-PWY	15889	15344	15322	16089	18556	19432	17389	16179	15698	17802	21080	15113	20657	15951	15875	16356	16400	17207
COBALSYN-PWY	5641	7889	6351	6861	4398	3989	4535	4814	7062	5653	3170	6844	3090	3862	5360	7037	4622	4185
CODH-PWY	3521	2794	3126	2937	2520	1153	1654	4882	4069	3170	2327	3134	4781	3543	1616	3802	4558	3978
COLANSYN-PWY	9253	10813	10611	9745	11380	9811	7899	8917	11069	7985	8846	8021	6480	9654	7091	8912	9831	7948
COMPLETE-ARO-PWY	18115	16823	17154	17469	20391	17685	18775	18875	18114	19518	22704	16491	22093	18039	18206	17843	18179	19202
CRNFORCAT-PWY	216	313	450	378	339	476	2054	536	360	136	295	728	148	775	476	369	237	383
DAPLYSINESYN-PWY	12679	12843	12747	12008	10511	14588	12323	13869	11914	15206	9619	12998	11958	13540	12615	11816	12966	13396
DENITRIFICATION-PWY	328	360	241	529	118	87	85	163	65	72	186	277	129	150	176	591	376	173
DENOVOPURINE2-PWY	8746	7582	9928	5807	8884	8615	9267	14408	12476	13828	9450	10597	14712	12823	12296	8431	12129	13372
DHGLUCONATE-PYR-CAT-PWY	0	0	0	0	0	12	11	0	14	2	0	0	0	0	0	48	0	54
DTDPRHAMSYN-PWY	16850	15925	15476	16649	19199	16321	17848	17137	17002	18260	20981	15029	20705	16658	16812	16576	16333	17657
ECASYN-PWY	1	3	3	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0
ENTBACSYN-PWY	79	44	9	0	16	113	87	0	0	0	46	104	0	0	73	0	0	23
FAO-PWY	9013	9575	10125	10196	5068	6502	7684	6621	7939	4544	4205	9678	3387	8584	8663	9163	9021	7277
FASYN-ELONG-PWY	14638	19243	17728	16313	12741	16562	13772	15859	16337	14963	9172	16596	11004	16076	12833	15120	15875	14199
FASYN-INITIAL-PWY	6066	8031	6254	4978	2581	1397	4224	3430	3591	3556	1712	7903	1504	4364	6659	4713	3806	3024
FERMENTATION-PWY	6882	6365	5729	6233	6471	6199	3733	4915	7128	3847	3360	6412	2582	4476	6718	6391	4833	3382
FOLSYN-PWY	13326	11299	11689	12699	15739	14377	13459	13843	13095	14902	16588	12503	16679	12809	13649	13307	12986	14649
FUC-RHAMCAT-PWY	1	10	27	11	16	21	33	36	2	3	25	12	7	18	28	33	16	0
FUCCAT-PWY	52	30	64	31	26	43	31	44	13	5	35	24	14	22	19	38	31	43
GALACT-GLUCUROCAT-PWY	1105	747	1158	980	846	645	1018	1360	547	762	531	724	516	1189	1110	999	1054	1264
GALACTARDEG-PWY	30	17	2	0	23	12	16	8	15	8	10	16	0	12	29	32	35	65
GALACTUROCAT-PWY	2786	2935	2950	2522	1804	3151	2647	2265	1614	1818	1107	2050	892	2136	2015	1916	2175	2518
GALLATE-DEGRADATION-I-PWY	489	194	632	287	165	94	219	339	76	19	106	403	135	267	106	132	480	58
GALLATE-DEGRADATION-II-PWY	472	186	660	306	198	98	207	376	75	17	82	357	145	236	108	130	447	58
GLCMANNANAUT-PWY	358	502	642	396	333	235	274	295	230	249	181	279	243	175	246	241	439	202
GLUCARDEG-PWY	22	0	14	0	8	16	50	51	31	23	42	11	20	19	56	97	44	125
GLUCARGALACTSUPER-PWY	27	14	2	0	31	17	14	9	14	4	22	15	0	7	32	31	39	65
GLUCONEO-PWY	13984	14557	13585	14528	16019	16243	16753	16553	17612	17478	16439	14204	19185	15627	15963	15404	15460	17444
GLUCOSE1PMETAB-PWY	1665	1097	1279	476	302	996	700	276	963	229	273	1826	342	545	2235	1519	855	639
GLUCUROCAT-PWY	1351	813	1945	922	823	574	2180	1968	463	673	709	1498	780	1720	1400	995	1338	1187
GLUTORN-PWY	16872	15171	15555	15729	19114	16704	17325	17467	16496	19061	21421	15509	21084	16503	16590	16555	16612	18053
GLYCOCAT-PWY	11397	9291	9950	10905	8847	8245	8194	9761	10966	9740	7506	8434	6391	8806	10461	11446	9936	9626
GLYCOGENSYNTH-PWY	12170	10280	10462	10781	11241	7492	7986	10544	10678	12192	9445	10481	7341	10053	10916	11776	10255	9014
GLYCOL-GLYOXDEG-PWY	1	4	10	3	7	10	11	15	0	0	14	11	5	6	14	19	3	0
GLYCOLYSIS	14749	14672	13613	15225	15390	13134	13196	16129	18036	13349	12959	14442	14631	14687	13357	16949	15418	15676
GLYCOLYSIS-E-D	10631	10813	10454	10899	8602	6424	8678	9223	8813	8136	6656	10438	5723	8415	9345	11147	10425	7953
GLYCOLYSIS-TCA-GLYOX-BYPASS	8423	8551	8218	8162	4911	5481	5875	6321	7049	3423	3833	8814	3136	6604	6651	8077	7531	5994
GLYOXYLATE-BYPASS	5125	7819	7014	5377	2642	3232	5311	3959	4361	3260	2695	6980	2092	6625	6023	4781	5190	4414
GOLPDLCAT-PWY	11	1	67	1	12	67	8	27	3	2	0	35	0	92	8	25	32	0
HCAMHPDEG-PWY	22	1	5	25	9	0	0	7	2	0	2	4	0	0	0	9	14	11
HEME-BIOSYNTHESIS-II	6793	8216	7547	8132	5463	9828	5973	6193	10734	6073	2865	7674	3125	6600	6346	6652	5765	5806
HEMESYN2-PWY	11554	13215	13686	13139	10461	13285	10695	15137	16853	12472	7502	12503	12058	14601	10832	12208	14236	13555
HEXITOLDEGSUPER-PWY	649	181	422	1394	160	123	196	317	217	265	356	828	176	444	1053	270	363	665
HISDEG-PWY	3453	5469	4868	4123	2149	3169	3083	2688	2215	1306	1571	3237	1266	4620	3958	3036	3882	2862
HISTSYN-PWY	15508	15243	15031	15698	18653	14925	16874	15987	15552	17375	21064	14997	20206	15606	15664	16144	15853	16859
HOMOSER-METSYN-PWY	6471	7649	7948	5566	5129	5278	8156	7904	7911	6293	5543	7811	8311	9161	8195	6514	8377	8836
HSERMETANA-PWY	9208	10012	9594	8919	9011	7231	6807	9667	9076	9354	6287	9353	7089	8547	7546	7685	8974	8111
ILEUSYN-PWY	23007	25652	23627	22811	25207	21666	24702	23371	21823	25154	28680	22396	27911	22659	22629	22890	23035	24098
KDO-NAGLIPASYN-PWY	2375	717	275	536	950	292	384	838	108	167	390	3119	105	410	3723	2081	311	423
KETOGLUCONMET-PWY	21	26	8	35	20	50	38	45	128	31	21	22	7	21	24	48	16	116
LACTOSECAT-PWY	0	0	0	0	7	12	0	2	0	0	0	0	0	0	0	0	7	46
LEU-DEG2-PWY	5202	7009	5172	4940	2753	2857	4657	3120	2791	3247	1929	6074	1487	3788	5091	3765	3999	3590
LIPASYN-PWY	41	35	42	58	61	57	25	51	178	13	43	34	8	89	63	66	46	53
LPSSYN-PWY	0	0	1	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
