sample-id	sample-name	date	day	time	day-time	body-temperature	body-size-mm	extraction-batch
#q2:types	categorical	categorical	categorical	categorical	categorical	numeric	numeric	categorical
ARM1	ARM1	22.05.2019	1	9.15	1_0915	32.11	12.9	1
ARM2	ARM2	22.05.2019	1	9.15	1_0915	32.11	13.5	2
ARM3	ARM3	22.05.2019	1	9.15	1_0915	32.11	15.2	3
ARM4	ARM4	22.05.2019	1	9.15	1_0915	32.11	12.5	4
ARM5	ARM5	22.05.2019	1	9.15	1_0915	32.11	13.7	5
BRM1	BRM1	22.05.2019	1	12.30	1_1230	39.99	11.7	1
BRM2	BRM2	22.05.2019	1	12.30	1_1230	39.99	11.3	2
BRM4	BRM4	22.05.2019	1	12.30	1_1230	39.99	11.9	4
BRM5	BRM5	22.05.2019	1	12.30	1_1230	39.99	12.4	5
CRM1	CRM1	22.05.2019	1	16.12	1_1612	35.4	11.7	1
CRM2	CRM2	22.05.2019	1	16.12	1_1612	35.4	12.9	2
CRM3	CRM3	22.05.2019	1	16.12	1_1612	35.4	13	3
CRM4	CRM4	22.05.2019	1	16.12	1_1612	35.4	12	4
CRM5	CRM5	22.05.2019	1	16.12	1_1612	35.4	11.7	5
DRM1	DRM1	22.05.2019	1	17.40	1_1740	35.18	11.8	1
DRM2	DRM2	22.05.2019	1	17.40	1_1740	35.18	10.9	2
DRM4	DRM4	22.05.2019	1	17.40	1_1740	35.18	11.1	4
DRM5	DRM5	22.05.2019	1	17.40	1_1740	35.18	11.9	5
